CMR Processing Modes	CMR-Verarbeitungsmodi
Format:	Format:
Length	Länge
Up to 8 alphanumeric characters (bytes)	Bis zu 8 alphanumerische Zeichen (Byte)
Restrictions	Einschränkungen
Case-sensitive; can include these special characters: # $ @	Die Groß-/Kleinschreibung muss beachtet werden, kann die Sonderzeichen enthalten:  # $ @
Default	Standard
F1AIWSEP; used only if no value is specified. This is the default valueset by the printer driver component.	F1AIWSEP. Dieser Wert wird nur benutzt, wenn kein Wert angegeben wird. Dies ist der Standardwert, der von der Druckertreiberkomponente festgelegt wird.
Database name	Datenbankname
AFPPrinter.SeparatorExitFormdef	AFPPrinter.SeparatorExitFormdef
Usage notes:	Hinweise zur Verwendung:
The form definition must reside in one of the directories that the AFP resource path printer property specifies or in one of these directories:	Die Formdef muss sich in einem der im Druckermerkmal  AFP-Ressourcenpfad angegebenen Verzeichnisse oder in einem der folgenden Verzeichnisse befinden:
In AIX and Linux:	Unter AIX und Linux:
In the /aiw/aiw1/resources directory	In dem Verzeichnis  /aiw/aiw1/resources
In the /usr/lpp/psf/reslib directory	In dem Verzeichnis  /usr/lpp/psf/reslib
In Windows:	Unter Windows:
In the c:\aiw\aiw1\resources directory	In dem Verzeichnis  c:\aiw\aiw1\resources
In the \reslib directory in the PSF install path The default install path is c:\Program Files (x86)\InfoPrint\PSF	In dem Verzeichnis  \reslib im PSF-Installationspfad. Der Standard-Installationspfad lautet  c:\Program Files (x86)\InfoPrint\PSF
You cannot change the value of this property if there is a job assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you change the form definition for separator pages.	fährt den Drucker automatisch herunter und startet ihn neu, wenn Sie die Formdef für Trennseiten ändern.
Programmer information	Programmiererinformationen
Specifies the name of the programmer that was passed with the data set when it was received by a Download input device. Authorized users can update or add this value if necessary.	Gibt den Programmierernamen an, der mit dem Datensatz übergeben wurde, als er von einer Eingabeeinheit des Typs Download empfangen wurde. Berechtigte Benutzer können diesen Wert bei Bedarf aktualisieren oder hinzufügen.
Format:	Format:
Length	Länge
Up to 128 characters (bytes)	Bis zu 128 Zeichen (Byte)
Default	Standard
Not set	Nicht festgelegt
Database name	Datenbankname
Job.Info.Programmer	Job.Info.Programmer
Header page exit program	Exit-Programm für Startseite
Specifies the path to, and the name of the exit program that generates the header page for the job. Authorized users can specify a value that is up to 255 characters (bytes). The default exit program is jobsheetexit.header.	Gibt den Pfad und Namen des Exit-Programms an, das die Startseite für den Job generiert. Berechtigte Benutzer können einen Wert angeben, der bis zu  255 Zeichen (Byte) lang sein kann. Das Standard-Exit-Programm ist  jobsheetexit.header.
In AIX and Linux this file is located in the /aiw/aiw1/exits directory.	Unter AIX und Linux befindet sich die Datei im Verzeichnis  /aiw/aiw1/exits/.
In Windows this file is located in the c:\aiw\aiw1\exits directory.	Unter Windows befindet sich die Datei im Verzeichnis  c:\aiw\aiw1\exits.
Database name	Datenbankname
AFPPrinter.HeaderExitName	AFPPrinter.HeaderExitName
Duplex	Duplex
Specifies the type of duplexed printing that the printer does if no other duplex information is received for the job. Duplexed jobs print on both sides of the paper.	Gibt den Typ des Duplexdrucks an, den der Drucker ausführt, wenn keine anderen Duplexinformationen für den Job empfangen werden. Bei Duplexjobs werden beide Seiten des Papiers bedruckt.
Values:	Werte:
Not set	Nicht festgelegt
No duplex mode is assigned. This is the default value.	Es wurde kein Duplexmodus zugeordnet. Dies ist der Standardwert.
No	Nein
Duplexed printing is not active. The job prints on a single side of the paper. This is also called simplexed printing.	Duplexdruck ist nicht aktiv. Der Job wird nur auf eine der beiden Seiten des Papiers gedruckt. Dieser Modus wird auch Simplexdruck genannt.
Yes	Ja
Normal duplexed printing is active. The job prints on both sides of the paper, with the long side of the paper as the bound edge. This is the orientation that most books use.	Normaler Duplexdruck ist aktiv. Der Job wird auf beide Seiten des Papiers gedruckt, wobei die lange Kante des Papiers die Bindekante ist. Dies ist die Ausrichtung, die bei den meisten Büchern benutzt wird.
Tumble	Kopf-an-Fuß-Duplex
Tumble-duplexed printing is active. The job prints on both sides of the paper, with the short edge of the paper as the bound edge. The bottom of the front side of the sheet is the top of the back side of the sheet.	Kopf-an-Fuß-Duplexdruck ist aktiv. Der Job wird auf beide Seiten des Papiers gedruckt, wobei die kurze Kante des Papiers die Bindekante ist. Das Ende der Vorderseite des Blatts ist der Anfang der Rückseite des Blatts.
The value set in the Duplex printer property is used for a job only if both of these conditions are true:	Der in dem Druckermerkmal  Duplex angegebene Wert wird nur dann für einen Job benutzt, wenn die beiden folgenden Bedingungen zutreffen:
The job has a value of Not set for its Duplex job property.	Das Jobmerkmal  Duplex wurde auf den Wert  Nicht festgelegt gesetzt.
The form definition for the job does not set a duplex value.	In der Formdef für den Job ist kein Duplexwert festgelegt.
Database name	Datenbankname
AFPPrinter.Duplex	AFPPrinter.Duplex
Usage notes:	Hinweise zur Verwendung:
This property applies only to AFP and PCLOut printers.	Dieses Merkmal bezieht sich nur auf AFP- und PCLOut-Drucker.
You cannot change the value of this property if there is a job assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you change the duplex value.	fährt den Drucker automatisch herunter und startet ihn neu, wenn Sie den Duplexwert ändern.
Report errors	Fehler berichten
Specifies whether the input device reports internal processing errors to AFP Download Plus to assist with problem determination.	Gibt an, ob die Eingabeeinheit interne Verarbeitungsfehler als Hilfe bei der Fehlerbestimmung an AFP Download Plus berichtet.
Values:	Werte:
Yes	Ja
The input device reports internal errors associated with a job to the host system that submitted the job.	Die Eingabeeinheit berichtet mit einem Job zusammenhängende interne Fehler an das Hostsystem, das den Job übergeben hat.
No (default)	Nein (Standardwert)
The input device does not report internal errors to the host system.	Die Eingabeeinheit berichtet interne Fehler nicht an das Hostsystem.
Database name	Datenbankname
zOSDownload.EParm	zOSDownload.EParm
Usage note: The host system must be configured to accept this data from. See the AFP Download Plus documentation for configuration information.	Hinweis zur Verwendung: Das Hostsystem muss so konfiguriert sein, dass es diese Daten von   akzeptiert. Informationen zur Konfiguration enthält die Dokumentation zu AFP Download Plus.
Destination control file	Ziel-Steuerdatei
Specifies the full path and name of a file that the Download input device reads to set the AFP resource path used to search for resources for each data set. You can use this property when the system merges a multi-dataset job from Download for z/OS into a single job.	Gibt den vollständigen Pfad und den Namen einer Datei an, die von der Eingabeeinheit vom Typ "Download" gelesen wird, um den AFP-Ressourcenpfad festzulegen, der für die Suche nach Ressourcen für die einzelnen Datensätze verwendet wird. Sie können diese Eigenschaft verwenden, wenn das System einen aus mehreren Datensätzen bestehenden Job aus dem Download für z/OS zu einem einzigen Job zusammenführt.
Format:	Format:
Default	Standard
None	Nein
Database name	Datenbankname
zOSDownload.MDFile	zOSDownload.MDFile
Usage notes:	Hinweise zur Verwendung:
The MVS Download Destination Control File (DCF) is a flat text file that consists of Control Statements, blank lines, and comments. Each line has a maximum length of 1023 bytes. Tabs are treated as blank spaces.	Die Datei MVS (Download Destination Control File, DCF) ist eine einfache Textdatei, die aus Steueranweisungen, Leerzeilen und Kommentaren besteht. Jede Zeile hat eine maximale Länge von 1023 Byte. Tabulatoren werden als Leerzeichen behandelt.
This property is only used when the Merge dataset property is set to Yes and an input device connected to Download for z/OS receives multiple line data or mixed-mode jobs.	Dieses Merkmal wird nur verwendet, wenn das Merkmal  Datensatz zusammenführen auf  Ja gesetzt ist und ein Eingabegerät, das mit dem Download für z/OS verbunden ist, mehrzeilige Daten oder gemischte Jobs empfängt.
This property is only used by  for Windows.	Dieses Merkmal wird nur von   für Windows verwendet.
By default, a sample file is stored in C:\Program Files\Ricoh\ProcessDirector\PSF\bin\mvsdmap_rpd.txt. Look for the GLOBAL entries and add any directories you want searched for AFP resources. For example:	Standardmäßig ist eine Beispieldatei unter  C:\Program Files\Ricoh\ProcessDirector\PSF\bin\mvsdmap_rpd.txt gespeichert. Suchen Sie nach den Einträgen GLOBAL, und fügen Sie beliebige Verzeichnisse hinzu, die nach AFP-Ressourcen durchsucht werden sollen. Beispiel:
GLOBAL :: resource-context=c:\res_temp_prod;c:\res_temp_dev	GLOBAL :: resource-context=c:\res_temp_prod;c:\res_temp_dev
Before you make any other changes to this file, contact your Ricoh support representative.	Bevor Sie weitere Änderungen an dieser Datei vornehmen, wenden Sie sich an Ihren Ricoh-Kundendienstmitarbeiter.
JES job ID	JES-Job-ID
Specifies the JES job ID that was assigned to the data set on z/OS.	Gibt die JES-Job-ID an, die dem Datensatz auf z/OS zugeordnet wurde.
Format:	Format:
Length	Länge
Up to 32 characters (bytes)	Bis zu 32 Zeichen (Byte)
Restrictions	Einschränkungen
Case-sensitive	G/K beachten
Database name	Datenbankname
Job.Host.JesID	Job.Host.JesID
Connection timer (seconds)	Verbindungszeitgeber (Sekunden)
Specifies the amount of time, in seconds, that  waits before it stops trying to communicate with the printer when it cannot make a connection. Authorized users can specify this property.	Gibt an, wie viele Sekunden   wartet, bevor es den Versuch aufgibt, mit dem Drucker zu kommunizieren, wenn keine Verbindung hergestellt werden kann. Berechtigte Benutzer können dieses Merkmal angeben.
Format:	Format:
Data type	Datentyp
Integer from 0-9999. 0 prevents a timeout from occurring. If no value for the connection timer period is specified,  uses the default value set by the printer driver component, which is 30.	Ganze Zahl von 0-9999. Der Wert  0 bedeutet, dass keine Zeitlimitüberschreitung auftreten kann. Wird kein Wert für den Verbindungszeitgeber angegeben, benutzt   den von der Druckertreiberkomponente festgelegten Wert  30.
Database name	Datenbankname
PSFPrinter.ConnectionTimeout	PSFPrinter.ConnectionTimeout
Usage notes:	Hinweise zur Verwendung:
This property applies only to AFP printers.	Dieses Merkmal bezieht sich nur auf AFP-Drucker.
You cannot change the value of this property if there is a job assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you change the connection timer.	fährt den Drucker automatisch herunter und startet ihn neu, wenn Sie den Verbindungszeitgeber ändern.
Printer type	Druckertyp
Specifies the type of printer that is going to print the job.	Gibt den Typ des Druckers an, der den Job druckt.
Values:	Werte:
InfoPrint 5000 - 32/64 m/min (default)	InfoPrint 5000 - 32/64 m/min (Standard)
InfoPrint 5000 - 128 m/min	InfoPrint 5000 - 128 m/min
Database name	Datenbankname
Job.CMR.PrinterType	Job.CMR.PrinterType
Usage notes:	Hinweise zur Verwendung:
The Instruction color CMR, Instruction grayscale CMR, Audit color CMR, and Audit grayscale CMR properties use this value to find and display the CMRs that are available.	Die Merkmale  Farb-CMR für Anweisungen ,  Graustufen-CMR für Anweisungen ,  Farb-CMR zur Prüfung und  Graustufen-CMR zur Prüfung verwenden diesen Wert, um verfügbare CMRs zu suchen und anzuzeigen.
Printer type is a positional job property. For information about using positional job properties, refer to the Information Center.	Druckertyp ist ein positionsgebundenes Jobmerkmal. Weitere Informationen zu den positionsgebundenen Jobmerkmalen finden Sie im Informationszentrum.
PSFAPI trace wrap	PSFAPI-Trace-Umwicklung
Shows whether wrapping is enabled for the print driver component trace. This trace collects information about printer and job actions. If this trace is enabled, it collects information about all the printers in the system, not about a specific printer.	Zeigt an, ob Umwicklung für die Verfolgung der Druckertreiberkomponente aktiviert ist. Dieses Trace sammelt Informationen zu Drucker- und Jobaktionen. Wenn dieses Trace aktiviert ist, sammelt es Informationen zu allen Druckern im System, nicht nur zu einem bestimmten Drucker.
Values:	Werte:
Off (default)	Aus (Standardwert)
Wrapping is disabled. The trace file continues to grow, regardless of its size.	Umwicklung ist deaktiviert. Die Trace-Datei wächst weiterhin an, unabhängig von ihrer Größe.
On	Auf
Wrapping is enabled. The trace file is written until it reaches the value of the PSFAPI trace wrap size property. At that time, a backup version of the trace file is saved and tracing continues in a new trace file.	Umwicklung ist aktiviert. Die Trace-Datei wird geschrieben, bis der Wert des Merkmals  PSFAPI-Trace-Umwicklungsgröße erreicht wird. Zu diesem Zeitpunkt wird eine Sicherungsversion der Trace-Datei gespeichert und das Tracing wird in einer neuen Trace-Datei fortgesetzt.
Database name:	Datenbankname:
WorkflowSystem.PSFAPI.Wrap	WorkflowSystem.PSFAPI.Wrap
Usage note: Only one backup trace file is saved.	Hinweis zur Verwendung: Nur eine Trace-Sicherungsdatei wird gespeichert.
Job completion exit program	Jobabschluss-Exit-Programm
Specifies the path to and the name of the job completion exit program. Job completion exit programs can process every record in an AFP file after the file prints.	Gibt den Pfad und Namen des Jobabschluss-Exit-Programms an. Jobabschluss-Exit-Programme können jeden Satz in einer AFP-Datei verarbeiten, die gedruckt wird.
Format:	Format:
Length	Länge
Up to 255 characters (bytes)	Bis zu 255 Zeichen (Byte)
Restrictions	Einschränkungen
Case-sensitive	G/K beachten
Default	Standard
ainuxjobcompletion; used only if no value for the job completion exit program is specified. This exit writes job statistics to a log file.	ainuxjobcompletion. Wird nur benutzt, wenn kein Wert für das Jobabschluss-Exit-Programm angegeben wird. Dieses Exit-Programm schreibt Jobstatistiken in eine Protokolldatei.
Database name	Datenbankname
AFPPrinter.JobCompletionExitName	AFPPrinter.JobCompletionExitName
Usage notes:	Hinweise zur Verwendung:
The source for the default job completion exit program resides in the /usr/lpp/psf/exits directory. The executable resides in the /usr/lpp/psf/bin directory.  automatically looks for the exit program in the /usr/lpp/psf/bin directory. You do not need to include the path in the value if the exit program that you specify resides in this directory.	Die Quelle für das Standard-Jobabschluss-Exit-Programm befindet sich in dem Verzeichnis  /usr/lpp/psf/exits. Die ausführbare Datei befindet sich in dem Verzeichnis  /usr/lpp/psf/reslib.   sucht automatisch in dem Verzeichnis  /usr/lpp/psf/bin nach dem Exit-Programm. Sie müssen den Pfad nicht in dem Wert angeben, wenn sich das von Ihnen angegebene Exit-Programm in diesem Verzeichnis befindet.
The default job completion user exit writes job statistics to the /var/psf/jobcompletion.log file. In log entries  adds the system user ID (aiw1 is the default) to the printer name as it appears in the  user interface.	Das Standard-Jobabschluss-Exit-Programm schreibt Jobstatistiken in die Datei  /var/psf/jobcompletion.log.   hängt in Protokolleinträgen die ID des Systembenutzers ( aiw1 ist der Standardwert) an den Druckernamen an, der in der   -Benutzerschnittstelle erscheint.
The Enable job completion exit property for the printer must be Yes for  to call the exit program that this property specifies.	Das Merkmal  Jobabschluss-Exit aktivieren für den Drucker muss  Ja sein, damit   das in diesem Merkmal angegebene Exit-Programm aufrufen kann.
For detailed information about how to develop customized exit programs, refer to the Ricoh Production Print Information Center.Publications such as InfoPrint Manager for AIX: Procedures describe how to develop and compile exit programs.	Ausführliche Informationen zum Entwickeln angepasster Exit-Programme finden Sie im Ricoh Production Print Information Center. In Veröffentlichungen wie dem Buch  InfoPrint Manager für AIX: Prozeduren ist das Entwickeln und Kompilieren von Exit-Programmen beschrieben.
You cannot change the value of this property if there is a job assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you change the job completion exit program.	fährt den Drucker automatisch herunter und startet ihn neu, wenn Sie das Jobabschluss-Exit-Programm ändern.
Table reference characters	Tabellenverweiszeichen (TRC)
Specifies whether table reference characters are present in the job. Table reference characters select the fonts that the CHARS property specifies. They can also control formatting operations in the page definition. The location of the table reference characters, if they are present, is at the beginning of the line after the carriage control character, if one is present. The  line2afp data-stream conversion component uses the table reference character information when it converts the job into the AFP format. Authorized users can specify this property.	Gibt an, ob Tabellenverweiszeichen im Job vorhanden sind. Tabellenverweiszeichen wählen die Fonts aus, die im Merkmal  CHARS angegeben sind. Sie können zudem Formatierungsoperationen in der Pagedef steuern. Die Tabellenverweiszeichen (falls vorhanden) befinden sich am Anfang der Zeile nach dem Vorschubsteuerzeichen (falls vorhanden). Die InfoPrint   -Umwandlungskomponente  line2afp benutzt die Informationen für Tabellenverweiszeichen, wenn sie den Job in das AFP-Format umwandelt. Berechtigte Benutzer können dieses Merkmal angeben.
Values:	Werte:
No	Nein
The job does not contain table reference characters. This is the default that the  ConvertLineDataJobIntoAFP step template uses.	Der Job enthält keine Tabellenverweiszeichen. Dies ist der Standardwert, den die   -Schrittschablone  ConvertLineDataJobIntoAFP benutzt.
Not set	Nicht festgelegt
does not pass a value for this property to its line2afp component.	übergibt keinen Wert für dieses Merkmal an die Komponente  line2afp.
Yes	Ja
The job contains table reference characters.	Der Job enthält Tabellenverweiszeichen.
Database name	Datenbankname
Job.Line2AFP.TRC	Job.Line2AFP.TRC
Usage note: For detailed information, see the TRC parameter in the AFP Conversion and Indexing Facility: User's Guide.	Hinweis zur Verwendung: Einzelheiten stehen unter den Informationen zum Parameter  TRC im Buch  AFP Conversion and Indexing Facility: User's Guide.
Job edge marks	Kantenmarkierungen für Job
Specifies whether the printer prints print edge marks (also called copy marks) on each sheet of the job. Edge marks are black marks at the extreme edge of the sheet that are used for sorting or identification.	Gibt an, ob der Drucker Kantenmarkierungen (auch als Kopienmarkierungen bezeichnet) auf die einzelnen Blätter des Jobs druckt. Kantenmarkierungen sind schwarze Markierungen an der Blattkante, die zum Sortieren oder Identifizieren benutzt werden.
Values:	Werte:
No (default)	Nein (Standardwert)
No edge marks print.	Es werden keine Kantenmarkierungen gedruckt.
Yes	Ja
The printer prints edge marks.	Der Drucker druckt Kantenmarkierungen.
Database name	Datenbankname
PSFPrinter.EdgeMarks	PSFPrinter.EdgeMarks
Usage notes:	Hinweise zur Verwendung:
This property applies only to AFP printers.	Dieses Merkmal bezieht sich nur auf AFP-Drucker.
The printer must support edge marks and the edge-mark function must be enabled at the printer.	Der Drucker muss Kantenmarkierungen unterstützen, und die Kantenmarkierungsfunktion muss am Drucker aktiviert sein.
You cannot change the value of this property if there is a job assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you enable or disable edge marks.	fährt den Drucker automatisch herunter und startet ihn neu, wenn Kantenmarkierungen aktiviert oder inaktiviert werden.
Printer output data stream	Drucker-Ausgabedatenstrom
Specifies the data stream that the AFP input data stream is converted into before it is sent to the printer. Valid values are:	Gibt den Datenstrom an, in den der AFP-Eingabedatenstrom umgewandelt wird, bevor er an den Drucker gesendet wird. Gültige Werte sind:
PCL4	PCL4
An early version of PCL, which supports bitmapped fonts and images.	Eine frühe Version von PCL, die Bitmap-Fonts und -Bilder unterstützt.
PCL5 (default)	PCL5 (Standardwert)
The most widely used version of PCL for the office environment	Die am häufigsten benutzte PCL-Version für die Büroumgebung
PCL5C	PCL5C
An enhancement of PCL5 that includes color support	Eine Erweiterung von PCL5 mit Farbunterstützung
Database name	Datenbankname
AFP2PCL.OutputDataStream	AFP2PCL.OutputDataStream
Usage note: This property applies only to PCLOut printers.	Hinweis zur Verwendung: Dieses Merkmal bezieht sich nur auf PCLOut-Drucker.
PSF trace group	PSF-Trace-Gruppe
Shows the level of PSF tracing that is active on the system. Each level collects different information that software support can use to help diagnose problems. Choose the trace level based on advice from software support.	Zeigt die aktive PSF-Trace-Ebene im System an. Jede Ebene sammelt unterschiedliche Informationen, die die Softwareunterstützung zur Diagnose von Problemen verwenden kann. Wählen Sie die Trace-Ebene basierend auf den Empfehlungen der Softwareunterstützung aus.
Default	Standard
None	Nein
Database name	Datenbankname
AFPPrinter.PSFTraceGroup	AFPPrinter.PSFTraceGroup
Output data exit program	Ausgabedaten-Exit-Programm
Specifies the name of a program that monitors output data from the server to the AFP printer. For example, the output data exit program can print a report at the end of a job listing the start and end time and the number of fonts, page segments, and overlays in the job so that you can track the performance of the printer.	Gibt den Namen des Programms an, das die Übertragung der Ausgabedaten vom Server zum AFP-Drucker überwacht. Beispielsweise kann das Ausgabe-Exit-Programm einen Bericht am Ende eines Jobs drucken, der die Start- und Endzeit sowie die Anzahl von Fonts, Page-Segmenten und Overlays des Jobs enthält, was Ihnen ermöglicht, die Druckleistung zu verfolgen.
Format:	Format:
Length	Länge
Up to 255 characters (bytes)	Bis zu 255 Zeichen (Byte)
Restrictions	Einschränkungen
Case-sensitive	G/K beachten
Default	Standard
ainuxout	ainuxout
Database name	Datenbankname
AFPPrinter.OutDataExitName	AFPPrinter.OutDataExitName
Usage notes:	Hinweise zur Verwendung:
The Enable output data exit property for the printer must be Yes for  to call the exit program that this property specifies.	Das Merkmal  Ausgabedaten-Exit aktivieren für den Drucker muss auf  Ja gesetzt sein, damit   das in diesem Merkmal angegebene Exit-Programm aufrufen kann.
You cannot change the value of this property if a job is assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you change this value.	fährt den Drucker automatisch herunter und startet ihn neu, wenn Sie diesen Wert ändern.
Code page global identifier	Globale Codepage-ID
Specifies a three-character or four-character identifier for an IBM-registered code page. The  line2afp data-stream conversion component uses this information when it converts the job into the AFP format. Authorized users can specify a single code page value.	Gibt eine drei- oder vierstellige ID für eine bei IBM registrierte Codepage an. Die   -Datenstrom-Umwandlungskomponente  line2afp benutzt diese Informationen beim Umwandeln des Jobs in das AFP-Format. Berechtigte Benutzer können einen einzelnen Codepagewert angeben.
Default	Standard
Not set	Nicht festgelegt
Database name	Datenbankname
Job.Line2AFP.CPGID	Job.Line2AFP.CPGID
Usage notes:	Hinweise zur Verwendung:
For code page numbers that are less than 100, add a leading zero to the value. For example, specify 037 instead of 37.	Fügen Sie für Codepagenummern unter  100 dem Wert führende Nullen hinzu. Geben Sie beispielsweise  037 anstatt  37 an.
The DownloadLineData workflow that  provides includes the ConvertLineDataJobIntoAFP step. This step calls the  line2afp data-stream conversion component, and the step specifies a code page global identifier value of 500.	Der Workflow  DownloadLineData , den   bereitstellt, enthält den Schritt  ConvertLineDataJobIntoAFP. Dieser Schritt ruft die   -Datenstrom-Umwandlungskomponente  line2afp auf, und in dem Schritt ist die globale Codepage-ID  500 angegeben.
For detailed information, see the CPGID parameter in the AFP Conversion and Indexing Facility: User's Guide.	Einzelheiten stehen unter den Informationen zum Parameter  CPGID im Buch  AFP Conversion and Indexing Facility: User's Guide.
Address line 4	Adresszeile 4
Specifies the fourth line of address information for the job.  sets the value of this property when it reads the JCL file for the data set that was received by a Download input device. It uses the value that was transmitted for the ADDRESS JCL parameter. Authorized users can update or add this value if necessary.	Gibt die vierte Zeile mit Adressinformationen für den Job an.   legt den Wert dieses Merkmals beim Lesen der JCL-Datei für den Datensatz fest, der von einer Eingabeeinheit des Typs Download empfangen wurde. ProcessDirector benutzt den Wert, der für den JCL-Parameter ADDRESS übertragen wurde. Berechtigte Benutzer können diesen Wert bei Bedarf aktualisieren oder hinzufügen.
Format:	Format:
Length	Länge
Up to 128 characters (bytes)	Bis zu 128 Zeichen (Byte)
Default	Standard
Not set	Nicht festgelegt
Database name	Datenbankname
Job.Info.Address4	Job.Info.Address4
IPDS printer connection timer (seconds)	Verbindungszeitgeber IPDS-Drucker (Sekunden)
Specifies the number of seconds that the printer driver component of  maintains control of an idle physical printer. While the printer driver maintains control, the printer cannot receive jobs from other input sources.	Gibt an, wie lange die   -Druckertreiberkomponente die Steuerung eines inaktiven physischen Druckers aufrecht hält. Hält der Druckertreiber die Steuerung aufrecht, kann der Drucker keine Jobs von anderen Eingabequellen empfangen.
Format:	Format:
Data type	Datentyp
Integer from 1-9999.	Ganze Zahl von 1 bis 9999.
Default	Standard
15	15
Database name	Datenbankname
AFPPrinter.MIDReleaseTimer	AFPPrinter.MIDReleaseTimer
Usage note: This property must be less than the inactivity timer. If this value is greater,  drops the connection before it can share the printer.	Hinweis zur Verwendung: Dieses Merkmal muss kleiner als der Inaktivitätszeitgeber sein. Ist dieser Wert größer, gibt   die Verbindung frei, bevor er den Drucker gemeinsam nutzen kann.
Enable accounting exit	Abrechnungs-Exit aktivieren
Specifies whether  calls an accounting exit program to collect data used for job accounting.	Gibt an, ob   ein Abrechnungs-Exit-Programm aufruft, um für die Job-Abrechnung verwendete Daten zu sammeln.
Values:	Werte:
Yes	Ja
calls the accounting exit program specified in the Accounting exit program property.	ruft das im Merkmal-Feld  Abrechnungs-Exit-Programm festgelegte Abrechnungs-Exit-Programm auf.
No (default)	Nein (Standardwert)
does not call an accounting exit program.	ruft kein Abrechnungs-Exit-Programm auf.
Database name	Datenbankname
AFPPrinter.AccountingExit	AFPPrinter.AccountingExit
Usage notes:	Hinweise zur Verwendung:
You cannot change the value of this property if a job is assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you enable or disable the accounting exit.	fährt den Drucker automatisch herunter und startet ihn neu, wenn das Abrechnungs-Exit-Programm aktiviert oder inaktiviert wird.
Enable separator pages	Trennseiten aktivieren
Specifies whether the printer prints a separator page after the last page of each copy of a job. Authorized users can specify this property.	Gibt an, ob der Drucker eine Trennseite nach der letzten Seite der einzelnen Kopien eines Jobs druckt. Berechtigte Benutzer können dieses Merkmal angeben.
Values:	Werte:
Yes	Ja
Separator pages print.	Es werden Trennseiten gedruckt.
No (default)	Nein (Standardwert)
No separator pages print for multi-copy jobs that are sent to this printer.	Es werden für aus mehreren Kopien bestehende Jobs, die an diesen Drucker gesendet werden, keine Trennseiten gedruckt.
Database name	Datenbankname
Printer.SeparatorExit	Printer.SeparatorExit
Usage notes:	Hinweise zur Verwendung:
The file that the Separator page configuration file job property specifies controls the information that prints on the separator page.	Die in dem Jobmerkmal  Konfigurationsdatei für Trennseite angegebene Datei steuert die auf der Trennseite gedruckten Informationen.
You cannot change the value of this property if there is a job assigned to the printer.	Sie können den Wert dieses Merkmals nicht ändern, wenn dem Drucker ein Job zugeordnet ist.
automatically shuts down and restarts the printer when you enable or disable separator pages.	fährt den Drucker automatisch herunter und startet ihn neu, wenn Trennseiten aktiviert oder inaktiviert werden.
Page definition	Page definition
Specifies the AFP page definition to use with the job. A page definition is an AFP resource that contains a set of formatting controls, including: the number of lines per sheet, font selection, print direction, and mappings for individual data fields to positions on the composed page. The  line2afp data-stream conversion component uses this information when it converts the job into the AFP format. The page definition property corresponds to the PAGEDEF JCL parameter for input files that are sent by Download for z/OS or AFP Download Plus. Authorized users can specify this property.	Gibt die AFP-Pagedef an, die mit dem Job benutzt werden soll. Eine Pagedef ist eine AFP-Ressource, die eine Gruppe von Formatsteuerungen enthält, wie beispielsweise die Anzahl der Zeilen pro Blatt, die Font-Auswahl, die Druckrichtung und die Zuordnungen für einzelne Datenfelder zu Positionen auf der zusammengesetzten Seite enthält. Die   -Datenstrom-Umwandlungskomponente  line2afp benutzt diese Informationen beim Umwandeln des Jobs in das AFP-Format. Das Merkmal Pagedef entspricht dem JCL-Parameter PAGEDEF für Eingabedateien, die von Download for z/OS oder AFP Download Plus gesendet werden. Berechtigte Benutzer können dieses Merkmal angeben.
Format:	Format:
Length	Länge
Up to 8 characters (bytes)	Bis zu 8 Zeichen (Byte)
Restrictions	Einschränkungen
Case-sensitive; can include these special characters: # $ @	Die Groß-/Kleinschreibung muss beachtet werden, kann die Sonderzeichen enthalten:  # $ @
Default	Standard
Not set	Nicht festgelegt
Database name	Datenbankname
Job.Line2AFP.PAGEDEF	Job.Line2AFP.PAGEDEF
Usage notes:	Hinweise zur Verwendung:
Inline in the data stream	Inline im Datenstrom
In the directories that the AFP resource path  job property specifies	In einem der im Jobmerkmal  AFP-Ressourcenpfad angegebenen Verzeichnisse.
If the print step requests a resource, in the directories that the AFP resource path  printer property specifies	Wenn der Druckschritt eine Ressource anfordert, in den im Jobmerkmal  AFP-Ressourcenpfad angegebenen Verzeichnissen
In AIX and Linux:	Unter AIX und Linux:
In the /aiw/aiw1/resources directory	In dem Verzeichnis  /aiw/aiw1/resources
In the /usr/lpp/psf/reslib directory	In dem Verzeichnis  /usr/lpp/psf/reslib
In Windows:	Unter Windows:
